Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Aaron Holiday,27.1,HOU,Combo,1174,15.3,74,55.0%,30,18%,51,22%,48,9%,49,31%,59,12%,71,39%,70,51%
Jrue Holiday,33.4,BOS,Combo,2255,32.7,90,58.2%,50,23%,55,23%,45,9%,51,32%,64,13%,51,32%,58,45%
Justin Holiday,34.6,DEN,Combo,785,15.1,97,61.0%,26,17%,1,2%,53,9%,2,12%,100,36%,56,35%,95,71%
Richaun Holmes,30.0,DAL,Big,164,9.7,47,57.1%,86,76%,60,24%,0,0%,45,24%,0,0%,0,0%,0,0%
Richaun Holmes,30.0,WAS,Big,317,18.7,41,56.3%,75,66%,81,30%,26,1%,68,31%,37,2%,28,1%,27,3%
Chet Holmgren,21.5,OKC,Big,2411,29.4,72,60.0%,40,41%,50,21%,72,6%,53,26%,43,4%,80,29%,66,33%
Al Horford,37.4,BOS,Big,1735,26.7,84,64.1%,10,25%,12,12%,54,3%,15,15%,94,25%,86,36%,95,60%
Talen Horton-Tucker,22.9,UTA,Combo,973,19.5,17,46.9%,84,33%,69,26%,21,5%,48,31%,41,8%,36,28%,31,36%
Danuel House,30.4,PHI,Wing,450,15.0,42,52.5%,93,47%,13,9%,70,9%,30,17%,80,25%,4,11%,22,35%
Caleb Houstan,20.8,ORL,Wing,716,14.6,57,54.6%,1,4%,0,1%,15,2%,0,3%,99,38%,94,54%,100,93%
Kevin Huerter,25.2,SAC,Wing,1547,24.2,61,55.1%,23,19%,60,18%,44,4%,51,22%,25,11%,89,48%,73,59%
DeAndre Hunter,25.9,ATL,Forward,1674,29.4,60,54.8%,21,23%,58,21%,90,13%,71,34%,50,15%,63,28%,54,42%
Matthew Hurt,23.5,MEM,Big,101,16.9,5,46.6%,3,17%,8,10%,96,20%,65,30%,76,13%,94,40%,89,53%
Nah'Shon Hyland,23.1,LAC,Combo,444,16.4,59,53.0%,48,23%,41,20%,27,6%,31,26%,31,7%,84,43%,69,51%
Joe Ingles,36.1,ORL,Wing,1151,16.9,87,59.7%,9,13%,62,18%,4,0%,39,19%,44,15%,93,54%,90,69%
Brandon Ingram,26.2,NOP,Wing,2095,32.7,52,53.6%,28,20%,92,29%,100,29%,99,58%,2,3%,21,19%,4,22%
Kyrie Irving,31.6,DAL,Combo,2027,35.0,84,57.5%,38,21%,80,30%,79,14%,87,44%,23,6%,43,29%,28,36%
Jonathan Isaac,26.1,ORL,Forward,910,15.7,83,59.3%,92,48%,10,6%,79,10%,25,16%,60,19%,38,18%,46,36%
Jaden Ivey,21.7,DET,Combo,2190,28.4,31,49.6%,90,35%,66,25%,35,7%,52,32%,37,8%,27,25%,22,33%
Isaiah Jackson,21.8,IND,Big,691,13.3,90,66.2%,91,81%,33,16%,35,2%,28,18%,29,1%,27,1%,24,2%
Jaren Jackson,24.1,MEM,Big,2124,32.2,12,49.9%,28,34%,94,37%,30,1%,84,38%,48,5%,68,23%,59,28%
Reggie Jackson,33.5,DEN,Combo,1785,21.8,35,50.3%,58,26%,71,26%,67,12%,73,38%,36,8%,35,28%,29,36%
GG Jackson II,18.9,MEM,Forward,1192,25.9,50,53.4%,56,36%,25,13%,52,5%,35,19%,33,11%,75,34%,65,45%
Andre Jackson Jr.,22.0,MIL,Wing,484,10.1,69,56.0%,70,36%,58,17%,11,1%,38,18%,96,32%,7,14%,49,46%
Trayce Jackson-Davis,23.7,GSW,Big,1071,16.2,96,70.6%,93,83%,39,17%,0,0%,26,17%,0,0%,0,0%,0,0%
LeBron James,38.8,LAL,Forward,2501,35.2,88,60.0%,83,47%,48,19%,75,9%,63,28%,2,3%,50,23%,21,26%
Jaime Jaquez Jr.,22.7,MIA,Wing,2095,27.9,52,53.8%,81,40%,95,31%,36,3%,84,34%,43,15%,5,11%,8,26%
DeJon Jarreau,25.8,MEM,Wing,126,14.1,5,42.5%,62,32%,94,30%,92,16%,97,45%,0,2%,23,20%,7,23%
Trey Jemison,23.9,MEM,Big,545,23.7,37,55.7%,77,68%,84,31%,30,1%,71,32%,0,0%,0,0%,0,0%
Isaiah Joe,24.3,OKC,Wing,1431,18.3,92,61.4%,7,11%,7,7%,78,10%,30,17%,49,16%,96,56%,92,72%
Cameron Johnson,27.7,BKN,Forward,1592,27.5,65,56.0%,25,24%,29,14%,67,9%,44,22%,58,18%,77,36%,77,54%
Jalen Johnson,21.9,ATL,Big,1888,33.7,43,56.4%,44,44%,75,28%,50,3%,66,30%,62,8%,60,18%,57,26%
Keldon Johnson,23.9,SAS,Wing,2028,29.4,47,53.0%,75,38%,73,21%,29,3%,56,24%,33,13%,38,26%,29,38%
Nikola Jokic,28.7,DEN,Big,2736,34.6,77,61.9%,35,37%,97,39%,85,9%,96,49%,24,1%,52,14%,41,14%
Colby Jones,21.4,SAC,Wing,114,6.0,1,35.0%,51,27%,99,39%,22,2%,93,41%,28,11%,23,20%,17,32%
Damian Jones,28.3,CLE,Big,181,8.3,46,56.9%,71,65%,29,15%,61,4%,30,18%,59,7%,44,9%,44,16%
